Company name,Date of Initial Order,Monitor,Representative,Phone Number,URL
"SimEx Inc., Iwerks Entertainment, Inc., and SimEx-Iwerks Myrtle Beach, LLC",2024-01-19,DELOITTE RESTRUCTURING INC/RESTRUCTURATION DELOITTE INC,"SLEETH, JORDEN DAVID",416-775-8858,http://www.insolvencies.deloitte.ca/en-ca/SimEx
"Balboa Inc., DSPLN Inc., Happy Gilmore Inc., Interlude Inc., Multiville Inc., The Pink Flamingo Inc., Hometown Housing Inc., The Mulligan Inc., Horses in the Back Inc., Neat Nests Inc. & Joint Captain",2024-01-23,KSV RESTRUCTURING INC.,"GOLDSTEIN, NOAH",416-932-6207,https://www.ksvadvisory.com/experience/case/sid
"2437799 ALBERTA LTD., 2437801 ALBERTA LTD., 2437815 ALBERTA LTD., GRIFFON PARTNERS CAPITAL MANAGEMENT LTD., GRIFFON PARTNERS HOLDING CORP., GRIFFON PARTNERS OPERATION CORP., SPICELO LIMITED, STELLION LIMITED",2024-02-07,ALVAREZ & MARSAL CANADA INC.,"KONOWALCHUK, OREST M. P.",403-538-4736,https://www.alvarezandmarsal.com/GriffonPartners
"Collision Kings Group Inc., East Lake Collision Ltd., Mayland Heights Collision Ltd., Sunridge Collision Ltd., Arrow Auto Body Ltd., Bunzy's Auto Body Ltd., Royal Vista Collision Ltd., Stathko Investments Ltd., 2199921 Alberta Ltd., Collision Kings 3 Ltd., Nick's Repair Service Ltd., 10026923 Manitoba Ltd., CMD Holdings Inc., and CMD Glass Ltd.",2024-02-07,FTI Consulting Canada Inc.,"HELKAA, DERYCK",403-454-6035,http://cfcanada.fticonsulting.com/collisionkings/
"WP Holdings Ltd., Wayne Patrick Consumer Products Ltd. and WPCP Ltd.",2024-02-20,GRANT THORNTON LIMITED,"WOOTTON, DANIEL KENNETH",416-360-3063,www.GrantThornton.ca/WPCP
"Lynx Air Holdings Corporation and 1263343 Alberta Inc., DBA Lynx Air",2024-02-22,FTI Consulting Canada Inc.,"OLVER, DUSTIN",403-519-3485,http://cfcanada.fticonsulting.com/lynxair/
Bifano Consolidated Inc.,2024-02-28,ALVAREZ & MARSAL CANADA INC.,"Tillman, Anthony Joseph",604-639-0849,https://www.alvarezandmarsal.com/BifanoNata
BZAM Ltd.,2024-02-28,FTI CONSULTING CANADA INC.,"ROSENBERG, JEFFREY RICHARD",416-649-8100,http://cfcanada.fticonsulting.com/bzam/
"Razor Energy Corp., Razor Holdings GP Corp., Blade Energy Services Corp., and Razor Royalties Limited Partnership",2024-02-28,FTI Consulting Canada Inc.,"HELKAA, DERYCK",403-454-6037,http://cfcanada.fticonsulting.com/razor-blade/
"Canadian Overseas Petroleum Limited, COPL America Holding Inc., COPL America Inc., Canadian Overseas Petroleum (UK) Limited, Canadian Overseas Petroleum (Ontario) Limited, COPL Technical Services Limited, Canadian Overseas Petroleum (Bermuda Holdings) Limited, Canadian Overseas Petroleum (Bermuda) Limited, Southwestern Production Corporation, Atomic Oil and Gas LLC, and Pipeco LLC",2024-03-08,KSV RESTRUCTURING INC.,"GOLDSTEIN, NOAH",416-932-6207,https://www.ksvadvisory.com/experience/case/canadian-overseas-petroleum
Anfis Enterprises Inc. and 9407-5173 Québec Inc.,2024-03-11,RAYMOND CHABOT INC.,"CHAABAN, AYMAN",514-393-4734,https://www.raymondchabot.com/en/companies/public-records/9407-5173-quebec-inc/
Skylink Express Inc.,2024-03-11,KSV RESTRUCTURING INC.,"KOFMAN, ROBERT DAVID",416-932-6228,https://www.ksvadvisory.com/experience/case/skylink
"Saltwire Network Inc., The Halifax Herald Limited, Headline Promotional Products Limited, Titan Security & Investigation Inc., Brace Capital Limited and Brace Holdings Limited",2024-03-13,KSV RESTRUCTURING INC.,"KOFMAN, ROBERT DAVID",416-932-6228,https://www.ksvadvisory.com/experience/case/herald-saltwire
Gestion Juste Pour Rire Inc.et les autres sociétés énumérées en annexe A,2024-03-15,PricewaterhouseCoopers Inc.,"BOURQUE, CHRISTIAN",514-205-5434,https://www.pwc.com/ca/justepourrire
Goli Nutrition Inc.,2024-03-18,DELOITTE RESTRUCTURING INC/RESTRUCTURATION DELOITTE INC,"CLOUÂTRE, BENOÎT",514-393-5391,www.insolvencies.deloitte.ca/goli
Pride Group Holdings Inc.,2024-03-27,ERNST & YOUNG INC.,"MORRISON, ALEXANDER",416-941-7743,www.ey.com/ca/pridegroup
Heritage Cannabis Holding Corp.,2024-04-02,KPMG INC.,"PATEL, PRITESH",416-777-8500,https://kpmg.com/ca/heritage
Tebo Mill Installations et al.,2024-04-05,Crowe MacKay & Company Ltd.,"Lai, Derek",416-601-6150,https://crowemackayco.ca/project/tebo-group-of-industries/
Antibe Therapeutics Inc.,2024-04-09,DELOITTE RESTRUCTURING INC/RESTRUCTURATION DELOITTE INC,"MEAKIN, NIGEL DOMINIC",604-689-3928,https://www.insolvencies.deloitte.ca/antibe
"TED BAKER CANADA INC., TED BAKER LIMITED, OSL FASHION SERVICES CANADA INC., and OSL FASHION SERVICES, INC.",2024-04-24,ALVAREZ & MARSAL CANADA INC.,"KARPEL, GREG ALAN",416-847-5170,https://www.alvarezandmarsal.com/TBRetail
Teal-Jones Group,2024-04-25,PricewaterhouseCoopers Inc.,"VERMETTE, MICHAEL JOSEPH",604-805-5312,https://www.pwc.com/ca/tealjones
AlphaBow Energy Ltd.,2024-04-26,KSV RESTRUCTURING INC.,"BASI, ANDREW HARRINDER SINGH",416-932-6228,https://www.ksvadvisory.com/experience/case/alphabow
Cannmart Labs Inc,2024-05-02,MSI SPERGEL INC,"Manchanda, Mukul",416-498-4314,https://www.spergelcorporate.ca/engagements/cannmart-labs-inc/
"Clarkson Road Developments GP Inc., Clarkson Road Holdings Inc., and 2813427 Ontario Inc.",2024-05-03,PRICEWATERHOUSECOOPERS INC.,"MCKENNA, JOHN PATRICK",416-941-8314,https://www.pwc.com/ca/1111clarkson
INTELGENX TECHNOLOGIES CORP. and INTELGENX CORP.,2024-05-17,Ernst & Young Inc.,Martin P. Rosenthal,514-879-6549,https://www.ey.com/ca/intelgenx
"Eastern Meat Solutions Inc. (""EMS""), et al.",2024-05-21,DELOITTE RESTRUCTURING INC/RESTRUCTURATION DELOITTE INC,"SLEETH, JORDEN DAVID",416-775-8858,https://www.insolvencies.deloitte.ca/easternmeat
